"VRSTA IZOBRAŽEVANJA","SPOL","2007/08","2008/09","2009/10","2010/11","2011/12","2012/13","2013/14","2014/15","2015/16","2016/17","2017/18","2018/19","2019/20","2020/21"
"Vrsta izobraževanja - SKUPAJ","Spol - SKUPAJ",115445,114391,114873,107134,104003,99877,92769,85616,80798,79547,76534,75991,76728,82694
"Vrsta izobraževanja - SKUPAJ","Moški",48322,48087,48428,42182,43959,41882,38663,35810,34236,33798,32490,32188,32752,34992
"Vrsta izobraževanja - SKUPAJ","Ženske",67123,66304,66445,64952,60044,57995,54106,49806,46562,45749,44044,43803,43976,47702
"Višje strokovno","Spol - SKUPAJ",16424,16263,16594,15595,14403,13406,13251,11485,11162,11001,10353,10566,10662,10564
"Višje strokovno","Moški",8439,8551,8624,8490,8000,7605,7306,6565,6556,6536,6219,6495,6556,6499
"Višje strokovno","Ženske",7985,7712,7970,7105,6403,5801,5945,4920,4606,4465,4134,4071,4106,4065
"Visokošolsko strokovno (prejšnje)","Spol - SKUPAJ",25712,19331,10374,5679,2721,462,45,1,1,-,-,-,-,-
"Visokošolsko strokovno (prejšnje)","Moški",11808,9377,5285,2539,1375,241,31,-,-,-,-,-,-,-
"Visokošolsko strokovno (prejšnje)","Ženske",13904,9954,5089,3140,1346,221,14,1,1,-,-,-,-,-
"Visokošolsko strokovno (1. bolonjska stopnja)","Spol - SKUPAJ",11200,15592,22748,24517,25374,25798,23914,21748,20378,19962,19331,19077,19696,21833
"Visokošolsko strokovno (1. bolonjska stopnja)","Moški",4333,6268,9667,10337,11123,11251,10424,9564,8973,8735,8409,8148,8462,9312
"Visokošolsko strokovno (1. bolonjska stopnja)","Ženske",6867,9324,13081,14180,14251,14547,13490,12184,11405,11227,10922,10929,11234,12521
"Visokošolsko univerzitetno (1. bolonjska stopnja)","Spol - SKUPAJ",11023,15435,24006,27626,29859,30565,29060,27144,24913,24162,22509,22271,22237,24035
"Visokošolsko univerzitetno (1. bolonjska stopnja)","Moški",4350,5945,9602,9742,11765,11806,11201,10474,9713,9412,8803,8653,8718,9344
"Visokošolsko univerzitetno (1. bolonjska stopnja)","Ženske",6673,9490,14404,17884,18094,18759,17859,16670,15200,14750,13706,13618,13519,14691
"Visokošolsko univerzitetno (prejšnje)","Spol - SKUPAJ",41402,36239,25251,17943,12468,7620,2686,498,38,-,-,-,-,-
"Visokošolsko univerzitetno (prejšnje)","Moški",15222,13170,8815,5358,4403,2610,890,180,10,-,-,-,-,-
"Visokošolsko univerzitetno (prejšnje)","Ženske",26180,23069,16436,12585,8065,5010,1796,318,28,-,-,-,-,-
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Spol - SKUPAJ",221,759,1688,2474,3211,3854,4399,4704,4794,4770,4687,4515,4368,4626
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Moški",109,277,570,623,1062,1307,1440,1511,1510,1521,1440,1342,1266,1324
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Ženske",112,482,1118,1851,2149,2547,2959,3193,3284,3249,3247,3173,3102,3302
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji","Spol - SKUPAJ",2909,3391,6752,9236,11868,14566,16398,17392,17181,17094,16830,16473,16459,18127
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji","Moški",1160,1315,2471,3201,4333,5385,5948,6301,6379,6403,6315,6128,6234,6911
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji","Ženske",1749,2076,4281,6035,7535,9181,10450,11091,10802,10691,10515,10345,10225,11216
"Specialistièno","Spol - SKUPAJ",495,485,169,-,-,-,-,-,-,-,-,-,-,-
"Specialistièno","Moški",260,216,100,-,-,-,-,-,-,-,-,-,-,-
"Specialistièno","Ženske",235,269,69,-,-,-,-,-,-,-,-,-,-,-
"Magistrsko (prejšnje)","Spol - SKUPAJ",4477,4902,3882,79,1,2,1,-,-,-,-,-,-,-
"Magistrsko (prejšnje)","Moški",1840,1993,1615,26,-,-,1,-,-,-,-,-,-,-
"Magistrsko (prejšnje)","Ženske",2637,2909,2267,53,1,2,-,-,-,-,-,-,-,-
"Doktorsko (prejšnje)","Spol - SKUPAJ",1256,1381,1298,1057,645,174,7,-,-,-,-,-,-,-
"Doktorsko (prejšnje)","Moški",661,719,723,563,318,70,3,-,-,-,-,-,-,-
"Doktorsko (prejšnje)","Ženske",595,662,575,494,327,104,4,-,-,-,-,-,-,-
"Doktorsko (3. bolonjska stopnja)","Spol - SKUPAJ",326,613,2111,2928,3453,3430,3008,2644,2331,2558,2824,3089,3306,3509
"Doktorsko (3. bolonjska stopnja)","Moški",140,256,956,1303,1580,1607,1419,1215,1095,1191,1304,1422,1516,1602
"Doktorsko (3. bolonjska stopnja)","Ženske",186,357,1155,1625,1873,1823,1589,1429,1236,1367,1520,1667,1790,1907
