"VRSTA IZOBRAŽEVANJA","LETNIK","STAROST","2009/10 Spol - SKUPAJ","2009/10 Moški","2009/10 Ženske","2010/11 Spol - SKUPAJ","2010/11 Moški","2010/11 Ženske","2011/12 Spol - SKUPAJ","2011/12 Moški","2011/12 Ženske","2012/13 Spol - SKUPAJ","2012/13 Moški","2012/13 Ženske","2013/14 Spol - SKUPAJ","2013/14 Moški","2013/14 Ženske","2014/15 Spol - SKUPAJ","2014/15 Moški","2014/15 Ženske","2015/16 Spol - SKUPAJ","2015/16 Moški","2015/16 Ženske","2016/17 Spol - SKUPAJ","2016/17 Moški","2016/17 Ženske","2017/18 Spol - SKUPAJ","2017/18 Moški","2017/18 Ženske","2018/19 Spol - SKUPAJ","2018/19 Moški","2018/19 Ženske","2019/20 Spol - SKUPAJ","2019/20 Moški","2019/20 Ženske","2020/21 Spol - SKUPAJ","2020/21 Moški","2020/21 Ženske"
"Vrsta izobraževanja - SKUPAJ","Vsi letniki - SKUPAJ","Starost - Skupaj",85030,43730,41300,82267,42330,39937,79901,41164,38737,78208,40321,37887,76714,39717,36997,75325,38964,36361,74759,38651,36108,74021,38239,35782,73776,38030,35746,73110,37682,35428,72738,37436,35302,73854,38041,35813
"Vrsta izobraževanja - SKUPAJ","Vsi letniki - SKUPAJ","13 let ali manj",11,1,10,19,14,5,4,2,2,15,9,6,4,4,-,2,1,1,1,-,1,2,2,-,-,-,-,1,1,-,2,-,2,2,-,2
"Vrsta izobraževanja - SKUPAJ","Vsi letniki - SKUPAJ","14 let",1175,473,702,902,397,505,456,181,275,148,58,90,89,41,48,122,53,69,132,53,79,113,43,70,81,42,39,113,49,64,103,36,67,118,54,64
"Vrsta izobraževanja - SKUPAJ","Vsi letniki - SKUPAJ","15 let",18348,9053,9295,18022,9162,8860,17938,9274,8664,17220,8590,8630,16898,8618,8280,16320,8304,8016,17012,8631,8381,16169,8164,8005,16374,8254,8120,15954,8040,7914,16337,8144,8193,16619,8378,8241
"Vrsta izobraževanja - SKUPAJ","Vsi letniki - SKUPAJ","16 let",19330,10009,9321,19129,9708,9421,18719,9453,9266,18749,9712,9037,18102,9277,8825,17767,9220,8547,17357,8951,8406,18096,9334,8762,17615,9116,8499,17667,9077,8590,17331,8929,8402,18073,9165,8908
"Vrsta izobraževanja - SKUPAJ","Vsi letniki - SKUPAJ","17 let",19669,10158,9511,19049,9727,9322,18855,9556,9299,18568,9535,9033,18530,9552,8978,18045,9182,8863,17742,9177,8565,17323,8916,8407,18097,9314,8783,17540,9072,8468,17503,8975,8528,17281,8883,8398
"Vrsta izobraževanja - SKUPAJ","Vsi letniki - SKUPAJ","18 let",18163,9315,8848,17295,8854,8441,17229,8755,8474,17097,8655,8442,16658,8456,8202,16829,8586,8243,16601,8374,8227,16435,8349,8086,16057,8081,7976,16555,8335,8220,16083,8160,7923,16329,8235,8094
"Vrsta izobraževanja - SKUPAJ","Vsi letniki - SKUPAJ","19 let",5217,3020,2197,4691,2829,1862,4249,2515,1734,3995,2440,1555,4223,2577,1646,4140,2497,1643,3922,2368,1554,3888,2317,1571,3781,2256,1525,3625,2231,1394,3876,2364,1512,3973,2460,1513
"Vrsta izobraževanja - SKUPAJ","Vsi letniki - SKUPAJ","20 let",1646,948,698,1702,916,786,1365,827,538,1248,724,524,1141,675,466,1041,623,418,1101,648,453,1110,644,466,974,568,406,971,548,423,884,537,347,971,604,367
"Vrsta izobraževanja - SKUPAJ","Vsi letniki - SKUPAJ","21 let in veè",1471,753,718,1458,723,735,1086,601,485,1168,598,570,1069,517,552,1059,498,561,891,449,442,885,470,415,797,399,398,684,329,355,619,291,328,488,262,226
"Vrsta izobraževanja - SKUPAJ","1. letnik","Starost - Skupaj",21731,11320,10411,21266,11218,10048,20919,11051,9868,20450,10773,9677,20264,10766,9498,19794,10530,9264,20489,10803,9686,19813,10481,9332,20180,10675,9505,19735,10362,9373,20098,10495,9603,20144,10600,9544
"Vrsta izobraževanja - SKUPAJ","1. letnik","13 let ali manj",11,1,10,8,5,3,4,2,2,4,3,1,3,3,-,1,-,1,1,-,1,2,2,-,-,-,-,1,1,-,2,-,2,2,-,2
"Vrsta izobraževanja - SKUPAJ","1. letnik","14 let",1147,465,682,895,396,499,448,173,275,145,58,87,88,40,48,116,51,65,130,52,78,112,43,69,79,40,39,113,49,64,102,35,67,116,54,62
"Vrsta izobraževanja - SKUPAJ","1. letnik","15 let",16969,8501,8468,16969,8698,8271,16819,8658,8161,16686,8421,8265,16754,8563,8191,16225,8262,7963,16896,8583,8313,16054,8118,7936,16278,8218,8060,15887,8006,7881,16233,8101,8132,16523,8343,8180
"Vrsta izobraževanja - SKUPAJ","1. letnik","16 let",2105,1320,785,2135,1284,851,2337,1363,974,2248,1366,882,2135,1315,820,2143,1362,781,2164,1326,838,2336,1465,871,2443,1537,906,2454,1489,965,2596,1644,952,2377,1479,898
"Vrsta izobraževanja - SKUPAJ","1. letnik","17 let",790,563,227,611,400,211,693,458,235,757,518,239,711,472,239,690,469,221,735,489,246,649,433,216,775,511,264,744,492,252,698,442,256,671,467,204
"Vrsta izobraževanja - SKUPAJ","1. letnik","18 let",394,266,128,334,221,113,366,226,140,350,246,104,314,205,109,329,208,121,309,197,112,346,222,124,312,199,113,340,224,116,284,176,108,272,168,104
"Vrsta izobraževanja - SKUPAJ","1. letnik","19 let",179,121,58,159,107,52,143,98,45,129,75,54,126,82,44,144,89,55,122,74,48,143,93,50,143,82,61,94,58,36,117,68,49,104,53,51
"Vrsta izobraževanja - SKUPAJ","1. letnik","20 let",71,42,29,91,59,32,58,38,20,52,38,14,50,34,16,49,32,17,51,36,15,71,40,31,56,36,20,44,23,21,32,18,14,51,30,21
"Vrsta izobraževanja - SKUPAJ","1. letnik","21 let in veè",65,41,24,64,48,16,51,35,16,79,48,31,83,52,31,97,57,40,81,46,35,100,65,35,94,52,42,58,20,38,34,11,23,28,6,22
"Vrsta izobraževanja - SKUPAJ","2. letnik","Starost - Skupaj",20460,10601,9859,20220,10395,9825,19668,10224,9444,19373,10099,9274,19025,9829,9196,18883,9814,9069,18496,9636,8860,18926,9811,9115,18401,9559,8842,18540,9634,8906,18022,9250,8772,18882,9644,9238
"Vrsta izobraževanja - SKUPAJ","2. letnik","13 let ali manj",-,-,-,3,2,1,-,-,-,2,1,1,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
