"VRSTA IZOBRAŽEVANJA" "OBÈINE" "2007/08" "2008/09" "2009/10" "2010/11" "2011/12" "2012/13" "2013/14" "2014/15" "2015/16" "2016/17" "2017/18" "2018/19" "2019/20" "2020/21"
"Vrsta izobraževanja - SKUPAJ" "SLOVENIJA" 115445 114391 114873 107134 104003 99877 92769 85616 80798 79547 76534 75991 76728 82694
"Vrsta izobraževanja - SKUPAJ" "Ajdovšèina" 1130 1152 1178 1127 1093 1033 1027 919 869 833 820 804 767 823
"Vrsta izobraževanja - SKUPAJ" "Ankaran/Ancarano" - - - - - - - 2 104 99 96 115 103 121
"Vrsta izobraževanja - SKUPAJ" "Apaèe" 152 150 162 160 144 134 110 96 85 71 72 71 77 71
"Vrsta izobraževanja - SKUPAJ" "Beltinci" 411 412 429 424 422 411 366 343 303 307 294 296 274 283
"Vrsta izobraževanja - SKUPAJ" "Benedikt" 73 81 96 100 108 127 113 108 93 101 83 66 69 70
"Vrsta izobraževanja - SKUPAJ" "Bistrica ob Sotli" 81 79 79 80 64 67 58 60 52 54 47 51 53 53
"Vrsta izobraževanja - SKUPAJ" "Bled" 493 489 477 438 450 386 380 334 315 296 259 279 274 281
"Vrsta izobraževanja - SKUPAJ" "Bloke" 108 115 112 105 100 88 76 73 78 67 55 53 50 48
"Vrsta izobraževanja - SKUPAJ" "Bohinj" 269 262 267 238 247 245 247 250 217 183 181 161 160 191
"Vrsta izobraževanja - SKUPAJ" "Borovnica" 250 241 217 195 171 192 187 196 186 201 175 162 165 167
"Vrsta izobraževanja - SKUPAJ" "Bovec" 178 188 204 176 159 137 151 122 103 111 105 89 92 83
"Vrsta izobraževanja - SKUPAJ" "Braslovèe" 290 297 322 312 293 273 252 252 246 241 226 223 240 239
"Vrsta izobraževanja - SKUPAJ" "Brda" 326 360 331 313 294 290 261 244 220 220 212 197 212 215
"Vrsta izobraževanja - SKUPAJ" "Brezovica" 660 635 672 628 596 567 521 501 506 504 521 500 549 587
"Vrsta izobraževanja - SKUPAJ" "Brežice" 1263 1299 1283 1221 1134 1107 1045 987 927 894 785 709 718 753
"Vrsta izobraževanja - SKUPAJ" "Cankova" 91 96 91 90 105 103 85 76 68 76 62 57 53 52
"Vrsta izobraževanja - SKUPAJ" "Celje" 2986 2916 2881 2607 2539 2415 2211 1955 1853 1817 1687 1679 1645 1713
"Vrsta izobraževanja - SKUPAJ" "Cerklje na Gorenjskem" 405 388 420 383 372 369 358 359 335 334 310 304 302 357
"Vrsta izobraževanja - SKUPAJ" "Cerknica" 687 685 692 649 644 580 560 502 473 469 452 443 454 471
"Vrsta izobraževanja - SKUPAJ" "Cerkno" 304 300 312 294 279 245 252 234 215 215 199 163 174 191
"Vrsta izobraževanja - SKUPAJ" "Cerkvenjak" 86 80 92 81 79 69 68 69 60 63 56 50 57 61
"Vrsta izobraževanja - SKUPAJ" "Cirkulane" 97 96 97 83 73 72 69 64 53 55 57 55 64 61
"Vrsta izobraževanja - SKUPAJ" "Èrenšovci" 195 190 182 174 178 174 154 122 104 100 105 115 116 109
"Vrsta izobraževanja - SKUPAJ" "Èrna na Koroškem" 155 156 164 160 159 148 136 121 103 90 76 82 83 94
"Vrsta izobraževanja - SKUPAJ" "Èrnomelj" 817 817 806 766 731 687 645 556 531 488 461 454 449 470
"Vrsta izobraževanja - SKUPAJ" "Destrnik" 98 109 110 111 112 115 106 101 90 94 79 83 73 79
"Vrsta izobraževanja - SKUPAJ" "Divaèa" 202 205 210 185 169 178 164 162 137 127 119 112 112 119
"Vrsta izobraževanja - SKUPAJ" "Dobje" 54 53 47 51 40 41 41 43 44 39 41 34 36 40
"Vrsta izobraževanja - SKUPAJ" "Dobrepolje" 224 232 213 218 201 168 163 150 141 147 144 128 129 136
"Vrsta izobraževanja - SKUPAJ" "Dobrna" 106 100 112 112 111 95 102 96 93 88 87 84 83 74
"Vrsta izobraževanja - SKUPAJ" "Dobrova - Polhov Gradec" 434 431 445 421 410 411 385 342 331 344 365 363 367 394
"Vrsta izobraževanja - SKUPAJ" "Dobrovnik/Dobronak" 50 54 59 64 60 50 43 44 40 32 32 29 27 40
