"RAZRED" "SPOL" "STAROST" "VRSTA VPISA" "2016/17" "2017/18" "2018/19" "2019/20" "2020/21"
"Razred - SKUPAJ" "Spol - SKUPAJ" "Starost - SKUPAJ" "Vrsta vpisa - SKUPAJ" 176898 181301 186328 190156 193158
"Razred - SKUPAJ" "Spol - SKUPAJ" "Starost - SKUPAJ" "prviè vpisani v razred" 175382 179712 184636 187892 192297
"Razred - SKUPAJ" "Spol - SKUPAJ" "Starost - SKUPAJ" "ponavljavci" 1516 1589 1692 2264 861
"Razred - SKUPAJ" "Spol - SKUPAJ" "6 let ali manj" "Vrsta vpisa - SKUPAJ" 20331 19693 19560 18426 18687
"Razred - SKUPAJ" "Spol - SKUPAJ" "6 let ali manj" "prviè vpisani v razred" 20328 19692 19560 18424 18683
"Razred - SKUPAJ" "Spol - SKUPAJ" "6 let ali manj" "ponavljavci" 3 1 - 2 4
"Razred - SKUPAJ" "Spol - SKUPAJ" "7 let" "Vrsta vpisa - SKUPAJ" 21727 22371 21894 22024 21088
"Razred - SKUPAJ" "Spol - SKUPAJ" "7 let" "prviè vpisani v razred" 21639 22255 21796 21852 20995
"Razred - SKUPAJ" "Spol - SKUPAJ" "7 let" "ponavljavci" 88 116 98 172 93
"Razred - SKUPAJ" "Spol - SKUPAJ" "8 let" "Vrsta vpisa - SKUPAJ" 21947 21776 22474 22060 22095
"Razred - SKUPAJ" "Spol - SKUPAJ" "8 let" "prviè vpisani v razred" 21830 21640 22322 21866 21979
"Razred - SKUPAJ" "Spol - SKUPAJ" "8 let" "ponavljavci" 117 136 152 194 116
"Razred - SKUPAJ" "Spol - SKUPAJ" "9 let" "Vrsta vpisa - SKUPAJ" 20243 22047 21942 22635 22072
"Razred - SKUPAJ" "Spol - SKUPAJ" "9 let" "prviè vpisani v razred" 20093 21878 21756 22410 21957
"Razred - SKUPAJ" "Spol - SKUPAJ" "9 let" "ponavljavci" 150 169 186 225 115
"Razred - SKUPAJ" "Spol - SKUPAJ" "10 let" "Vrsta vpisa - SKUPAJ" 19265 20307 22145 22107 22687
"Razred - SKUPAJ" "Spol - SKUPAJ" "10 let" "prviè vpisani v razred" 19141 20157 21995 21869 22611
"Razred - SKUPAJ" "Spol - SKUPAJ" "10 let" "ponavljavci" 124 150 150 238 76
"Razred - SKUPAJ" "Spol - SKUPAJ" "11 let" "Vrsta vpisa - SKUPAJ" 18346 19340 20416 22320 22125
"Razred - SKUPAJ" "Spol - SKUPAJ" "11 let" "prviè vpisani v razred" 18190 19200 20257 22083 22047
"Razred - SKUPAJ" "Spol - SKUPAJ" "11 let" "ponavljavci" 156 140 159 237 78
"Razred - SKUPAJ" "Spol - SKUPAJ" "12 let" "Vrsta vpisa - SKUPAJ" 18199 18455 19430 20557 22298
"Razred - SKUPAJ" "Spol - SKUPAJ" "12 let" "prviè vpisani v razred" 17942 18195 19147 20154 22215
"Razred - SKUPAJ" "Spol - SKUPAJ" "12 let" "ponavljavci" 257 260 283 403 83
"Razred - SKUPAJ" "Spol - SKUPAJ" "13 let" "Vrsta vpisa - SKUPAJ" 17468 18260 18580 19554 20589
"Razred - SKUPAJ" "Spol - SKUPAJ" "13 let" "prviè vpisani v razred" 17246 18047 18336 19256 20478
"Razred - SKUPAJ" "Spol - SKUPAJ" "13 let" "ponavljavci" 222 213 244 298 111
"Razred - SKUPAJ" "Spol - SKUPAJ" "14 let" "Vrsta vpisa - SKUPAJ" 17808 17471 18279 18613 19466
"Razred - SKUPAJ" "Spol - SKUPAJ" "14 let" "prviè vpisani v razred" 17512 17160 17937 18206 19335
"Razred - SKUPAJ" "Spol - SKUPAJ" "14 let" "ponavljavci" 296 311 342 407 131
"Razred - SKUPAJ" "Spol - SKUPAJ" "15 let" "Vrsta vpisa - SKUPAJ" 1428 1438 1483 1733 1892
"Razred - SKUPAJ" "Spol - SKUPAJ" "15 let" "prviè vpisani v razred" 1345 1360 1414 1654 1845
"Razred - SKUPAJ" "Spol - SKUPAJ" "15 let" "ponavljavci" 83 78 69 79 47
"Razred - SKUPAJ" "Spol - SKUPAJ" "16 let ali veè" "Vrsta vpisa - SKUPAJ" 136 143 125 127 159
"Razred - SKUPAJ" "Spol - SKUPAJ" "16 let ali veè" "prviè vpisani v razred" 116 128 116 118 152
"Razred - SKUPAJ" "Spol - SKUPAJ" "16 let ali veè" "ponavljavci" 20 15 9 9 7
"Razred - SKUPAJ" "Moški" "Starost - SKUPAJ" "Vrsta vpisa - SKUPAJ" 90857 93075 95656 97691 99141
"Razred - SKUPAJ" "Moški" "Starost - SKUPAJ" "prviè vpisani v razred" 89870 92063 94551 96295 98622
"Razred - SKUPAJ" "Moški" "Starost - SKUPAJ" "ponavljavci" 987 1012 1105 1396 519
"Razred - SKUPAJ" "Moški" "6 let ali manj" "Vrsta vpisa - SKUPAJ" 10204 9873 9823 9110 9270
"Razred - SKUPAJ" "Moški" "6 let ali manj" "prviè vpisani v razred" 10203 9873 9823 9109 9268
"Razred - SKUPAJ" "Moški" "6 let ali manj" "ponavljavci" 1 - - 1 2
"Razred - SKUPAJ" "Moški" "7 let" "Vrsta vpisa - SKUPAJ" 11264 11528 11261 11412 10808
"Razred - SKUPAJ" "Moški" "7 let" "prviè vpisani v razred" 11214 11461 11195 11317 10754
"Razred - SKUPAJ" "Moški" "7 let" "ponavljavci" 50 67 66 95 54
"Razred - SKUPAJ" "Moški" "8 let" "Vrsta vpisa - SKUPAJ" 11180 11280 11579 11349 11444
"Razred - SKUPAJ" "Moški" "8 let" "prviè vpisani v razred" 11104 11200 11481 11232 11375
"Razred - SKUPAJ" "Moški" "8 let" "ponavljavci" 76 80 98 117 69
"Razred - SKUPAJ" "Moški" "9 let" "Vrsta vpisa - SKUPAJ" 10396 11217 11369 11663 11345
"Razred - SKUPAJ" "Moški" "9 let" "prviè vpisani v razred" 10306 11122 11244 11536 11287
