"SPOL" "STAROST" "2015/16" "2016/17" "2017/18" "2018/19" "2019/20"
"Spol - Skupaj" "Starost - SKUPAJ" 17331 17448 17116 17731 18089
"Spol - Skupaj" "13 let ali manj" 67 48 65 60 70
"Spol - Skupaj" "14 let" 16067 16061 15682 16249 16395
"Spol - Skupaj" "15 let" 1103 1237 1251 1320 1519
"Spol - Skupaj" "16 let" 80 92 107 94 93
"Spol - Skupaj" "17 let ali veè" 14 10 11 8 12
"Moški" "Starost - SKUPAJ" 8850 8941 8705 8948 9246
"Moški" "13 let ali manj" 19 26 23 17 34
"Moški" "14 let" 8079 8052 7814 8016 8212
"Moški" "15 let" 696 808 788 854 929
"Moški" "16 let" 48 50 73 57 61
"Moški" "17 let ali veè" 8 5 7 4 10
"Ženske" "Starost - SKUPAJ" 8481 8507 8411 8783 8843
"Ženske" "13 let ali manj" 48 22 42 43 36
"Ženske" "14 let" 7988 8009 7868 8233 8183
"Ženske" "15 let" 407 429 463 466 590
"Ženske" "16 let" 32 42 34 37 32
"Ženske" "17 let ali veè" 6 5 4 4 2
